Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM
7,C_4_M_32,org.apache.commons.lang3.ConversionTest::testShortToByteArray,0,New,13,2,0,0,2254,0.5,0
7,C_4_M_33,org.apache.commons.lang3.ConversionTest::testLongToHex,0,New,25,3,0,0,2260,0.666666667,0
7,C_4_M_34,org.apache.commons.lang3.ConversionTest::testIntToHex,0,New,25,3,0,0,2260,0.666666667,0
7,C_4_M_35,org.apache.commons.lang3.ConversionTest::testShortToHex,0,New,21,3,0,0,2260,0.666666667,0
7,C_4_M_36,org.apache.commons.lang3.ConversionTest::testByteToHex,0,New,19,3,0,0,2260,0.666666667,0
7,C_4_M_37,org.apache.commons.lang3.ConversionTest::testLongToBinary,0,New,15,3,0,0,2260,0.333333333,0
7,C_4_M_38,org.apache.commons.lang3.ConversionTest::testIntToBinary,0,New,15,3,0,0,2260,0.333333333,0
7,C_4_M_39,org.apache.commons.lang3.ConversionTest::testShortToBinary,0,New,15,3,0,0,2260,0.333333333,0
7,C_4_M_40,org.apache.commons.lang3.ConversionTest::testByteToBinary,0,New,15,3,0,0,2260,0.333333333,0
7,C_4_M_41,org.apache.commons.lang3.ConversionTest::testUuidToByteArray,0,New,5,3,0,0,2260,0.666666667,0
7,C_4_M_42,org.apache.commons.lang3.ConversionTest::testByteArrayToUuid,0,New,4,3,0,0,2260,0.666666667,0
7,C_5_M_1,org.apache.commons.lang3.SystemUtilsTest::testIS_JAVA,0,Modified,67,1,0,0,2254,0,0
7,C_5_M_2,org.apache.commons.lang3.SystemUtilsTest::testIS_OS,0,Modified,45,10,0.9,0.022097634,2581,0,0
7,C_6_M_1,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,1,Modified,39,24,1,0.039754388,3637,0,3
7,C_7_M_1,org.apache.commons.lang3.reflect.TypeUtilsTest::testLang820,0,New,4,2,0.5,1.49E-04,2254,0,0
7,C_8_M_1,org.apache.commons.lang3.text.StrBuilderTest::testToStringBuilder,0,New,5,8,0.75,0.014767129,2462,0.125,0
7,C_8_M_2,org.apache.commons.lang3.text.StrBuilderTest::testAsBuilder,0,New,3,11,0.545454545,0.012033871,2643,0.090909091,0
7,C_9_M_1,org.apache.commons.lang3.text.ExtendedMessageFormatTest::testExtendedAndBuiltInFormats,0,Modified,36,30,0.833333333,0.02038013,4158,0.033333333,0
7,C_10_M_1,org.apache.commons.lang3.text.StrBuilderAppendInsertTest::testAppend_Object,0,Modified,18,22,0.681818182,0.023043636,3469,0,0
7,C_10_M_2,org.apache.commons.lang3.text.StrBuilderAppendInsertTest::testAppendAll_Array,0,Modified,13,19,0.736842105,0.02370265,3225,0,0
7,C_11_M_1,org.apache.commons.lang3.time.DateFormatUtilsTest::testFormat,0,Modified,17,32,0.6875,0.019448422,4334,0.125,0
7,C_11_M_2,org.apache.commons.lang3.time.DateFormatUtilsTest::testFormatCalendar,0,Modified,17,36,0.694444444,0.020017094,4686,0.166666667,0
7,C_12_M_1,org.apache.commons.lang3.time.DurationFormatUtilsTest::testLexx,0,Modified,10,4,0.25,8.62E-04,2287,0.25,0
6,C_1_M_1,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,1,New,5,26,0.923076923,0.014358304,3834,0,0
6,C_2_M_1,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,0,Modified,39,24,1,0.047961615,3661,0.083333333,4
6,C_2_M_2,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumberMagnitude,0,New,15,10,0.9,0.026055227,2605,0.2,0
6,C_2_M_3,org.apache.commons.lang3.math.NumberUtilsTest::testCreateBigInteger,0,Modified,19,3,0.333333333,0.002080332,2284,0.333333333,0
5,C_1_M_1,org.apache.commons.lang3.LocaleUtilsTest::testLang328,0,Modified,3,6,1,0.033898305,2407,0,1
5,C_1_M_2,org.apache.commons.lang3.LocaleUtilsTest::testLang865,1,New,39,6,0.833333333,0.031930993,2407,0,0
5,C_2_M_1,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,0,Modified,8,32,0.90625,0.019666724,4398,0.21875,1
5,C_2_M_2,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairsLang858,0,New,3,33,0.757575758,0.01661651,4488,0.212121212,0
5,C_2_M_3,org.apache.commons.lang3.StringUtilsTest::testUnescapeSurrogatePairs,0,New,7,31,0.806451613,0.018098222,4308,0.193548387,0
5,C_3_M_1,org.apache.commons.lang3.StringEscapeUtilsTest::testEscapeXmlAllCharacters,0,New,9,34,0.705882353,0.01598467,4578,0.088235294,0
