Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
66,C_3_M_5,org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testMinEndpoints,0,New,8,14,0.785714286,0.011848399,1789,0.214285714,0,0.785714286
67,C_1_M_1,org.apache.commons.math.MaxIterationsExceededExceptionTest::testComplexConstructor,0,Modified,8,7,0.285714286,0.001199999,1673,0.285714286,0,0.285714286
67,C_2_M_1,org.apache.commons.math.ConvergenceExceptionTest::testConstructorPatternArguments,0,Modified,12,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_2_M_2,org.apache.commons.math.ConvergenceExceptionTest::testConstructorPatternArgumentsCause,0,Modified,14,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_3_M_1,org.apache.commons.math.MathExceptionTest::testConstructorPatternArguments,0,Modified,12,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_3_M_2,org.apache.commons.math.MathExceptionTest::testConstructorPatternArgumentsCause,0,Modified,14,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_3_M_3,org.apache.commons.math.MathExceptionTest::testPrintStackTrace,0,Modified,18,8,0.25,0.002097859,1679,0.25,0,0.25
67,C_3_M_4,org.apache.commons.math.MathExceptionTest::testSerialization,0,Modified,27,9,0.222222222,0.002045476,1687,0.222222222,0,0.222222222
67,C_4_M_1,org.apache.commons.math.FunctionEvaluationExceptionTest::testConstructorPatternArguments,0,Modified,12,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_4_M_2,org.apache.commons.math.FunctionEvaluationExceptionTest::testConstructorArrayPatternArguments,0,Modified,15,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_4_M_3,org.apache.commons.math.FunctionEvaluationExceptionTest::testConstructorPatternArgumentsCause,0,Modified,14,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_4_M_4,org.apache.commons.math.FunctionEvaluationExceptionTest::testConstructorArrayPatternArgumentsCause,0,Modified,17,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_5_M_1,org.apache.commons.math.MathConfigurationExceptionTest::testConstructorPatternArguments,0,Modified,12,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_5_M_2,org.apache.commons.math.MathConfigurationExceptionTest::testConstructorPatternArgumentsCause,0,Modified,14,7,0.285714286,0.001199999,1673,0.428571429,0,0.285714286
67,C_6_M_1,org.apache.commons.math.analysis.interpolation.LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment,0,New,14,20,0.1,0.001217285,1877,0,0,0.1
67,C_6_M_2,org.apache.commons.math.analysis.interpolation.LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment,0,New,16,18,0.111111111,0.001301236,1833,0,0,0.111111111
67,C_6_M_3,org.apache.commons.math.analysis.interpolation.LinearInterpolatorTest::testInterpolateLinear,0,New,11,18,0.111111111,0.001301236,1833,0,0,0.111111111
