"","output_rank_ST_compiler_Ver","output_rank_ST_compiler_rankIndex","output_rank_MC_compiler_rankIndex","output_rank_CMC_compiler_rankIndex","output_rank_TM_compiler_rankIndex","output_rank_model_compiler_rankIndex","output_rank_model_compiler_rankIndex_mod"
"72",114,0.888888888888889,0.222222222222222,0.666666666666667,0.666666666666667,0.222222222222222,0.222222222222222
"73",115,0.333333333333333,0.75,0.0833333333333333,0.0833333333333333,0.416666666666667,0.416666666666667
"74",116,0.702127659574468,0.234042553191489,0.574468085106383,0.574468085106383,0.127659574468085,0.127659574468085
"75",117,0.565217391304348,0.565217391304348,0.217391304347826,0.217391304347826,0.304347826086957,0.304347826086957
"76",121,0.840909090909091,0.363636363636364,0.568181818181818,0.568181818181818,0.0454545454545455,0.0454545454545455
"77",122,0.842105263157895,0.210526315789474,0.842105263157895,0.842105263157895,0.157894736842105,0.157894736842105
"78",123,0.0857142857142857,0.714285714285714,0.814285714285714,0.814285714285714,0.928571428571429,0.928571428571429
"79",124,0.685714285714286,0.442857142857143,0.0142857142857143,0.0142857142857143,0.0571428571428571,0.0571428571428571
"80",127,0.607142857142857,0.25,0.357142857142857,0.357142857142857,0.0714285714285714,0.0714285714285714
"81",129,0.155555555555556,0.755555555555556,0.0888888888888889,0.0888888888888889,0.8,0.8
"82",130,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222
"83",131,0.125,0.125,0.125,0.125,0.5,0.5
"84",132,0.3125,0.3125,0.375,0.375,0.75,0.5625
